date,suspected,confirmed,,severe,deaths,recovered,quarantined,quarantine_released_on_the_day,quarantine_released_cumulative,total_cumulative
2019-12-31,27,,,,,,,,,
2020-01-03,44,,,,,,121,,,
2020-01-05,59,,,,,,163,,,
2020-01-10,,41,,,1,,739,,0,739
2020-01-11,,41,0.0000,,1,,717,,46,763
2020-01-12,,41,0.0000,,1,,687,,76,763
2020-01-13,,41,0.0000,,1,,576,,187,763
2020-01-15,,41,0.0000,,2,7,119,,644,763
2020-01-16,,45,0.0976,5,,12,98,,665,763
2020-01-17,,62,0.3778,8,2,15,82,,681,763
2020-01-18,,121,0.9516,,,19,,,,
2020-01-19,,198,0.6364,44,3,25,90,,727,817
2020-01-20,54,291,0.4697,,6,25,249,,739,988
2020-01-21,37,440,0.5120,102,9,,1394,,765,
2020-01-22,257,571,0.2977,95,17,,4928,,969,5897
2020-01-23,1072,830,0.4536,177,25,34,8420,,1087,9507
2020-01-24,1965,1287,0.5506,237,41,38,13967,,1230,15197
2020-01-25,2684,1975,0.5346,324,56,49,21556,325,,23431
2020-01-26,5794,2744,0.3894,461,80,51,30453,583,,32799
2020-01-27,6973,4515,0.6454,976,106,60,44132,914,,47833
2020-01-28,9239,5974,0.3231,1239,132,103,59990,1604,,65537
2020-01-29,12167,7711,0.2908,1370,170,124,81947,2364,,88693
2020-01-30,15238,9692,0.2569,1527,213,171,102427,4201,,113579
2020-01-31,17988,11791,0.2166,1795,259,243,118478,6509,,136987
2020-02-01,19544,14380,0.2196,2110,304,328,137594,8044,,163844
2020-02-02,21558,17205,0.1965,2296,361,475,152700,10055,,189583
2020-02-03,23214,20438,0.1879,2788,425,632,171329,12755,,221015
2020-02-04,23260,24324,0.1901,3219,490,892,185555,18457,,252154
2020-02-05,24702,28018,0.1519,3859,563,1153,186354,NA,,282813
2020-02-06,26359,31161,0.1122,4821,636,1540,186045,NA,,314028
2020-02-07,27657,34546,0.1086,6101,722,2050,189660,NA,,345498
2020-02-08,28942,37198,0.0768,6188,811,2649,188183,NA,,371905
2020-02-09,23589,40171,0.0799,6484,908,3281,187518,NA,,399487
2020-02-10,21675,42638,0.0614,7333,1016,3996,187728,NA,,428438
2020-02-11,16067,44653,0.0473,8204,1113,4740,185037,NA,,451462
2020-02-12,13435,59804,0.3393,8030,1259,5911,181386,NA,,471531
2020-02-13,10109,63851,0.0677,10204,1380,6723,177984,NA,,493067
2020-02-14,8969,66492,0.0414,11053,1523,8096,169039,NA,,513183
2020-02-15,8228,68500,0.0302,11272,1665,9419,158764,NA,,529418
2020-02-16,7264,70548,0.0299,10644,1770,10844,150539,NA,,546016
2020-02-17,6242,72436,0.0268,11741,1868,12552,141552,NA,,560901
2020-02-18,5248,74185,0.0241,12017,2004,14376,135581,NA,,574418
